Date,Open,High,Low,Close,UBB(2),BollMA (20)  on Close,LBB(2),Volume,BollW (DIA US),%B (DIA US)
9/18/2017,222.92,223.386,222.67,223.16,223.1121,219.4045,215.6969,1827255,3.3797,1.0065
9/15/2017,222.13,222.57,221.91,222.45,222.557,219.073,215.589,2377706,3.1807,0.9846
9/14/2017,221.65,222.43,221.62,222.32,221.9972,218.841,215.6848,1893733,2.8844,1.0511
9/13/2017,221.35,221.79,221.2,221.76,221.5835,218.7485,215.9135,1720803,2.592,1.0311
9/12/2017,221.33,221.57,221.07,221.42,221.2368,218.6685,216.1002,2073331,2.3491,1.0357
9/11/2017,219.58,220.885,219.58,220.76,220.9198,218.596,216.2722,3019327,2.1261,0.9656
9/8/2017,217.61,218.66,217.52,218.24,220.5961,218.493,216.3899,2135767,1.9251,0.4399
9/7/2017,218.47,218.72,217.68,218.11,220.6113,218.511,216.4107,1982763,1.9224,0.4045
9/6/2017,218.54,218.62,218.04,218.25,220.8917,218.6305,216.3693,1915470,2.0685,0.4159
9/5/2017,219.53,219.53,217.18,217.67,221.1759,218.7525,216.3291,3828558,2.2157,0.2767
9/1/2017,220.13,220.41,219.8329,219.92,221.4448,218.9115,216.3782,2150190,2.3144,0.6991
8/31/2017,219.53,219.89,219.12,219.52,221.544,218.944,216.344,2173023,2.375,0.6108
8/30/2017,218.75,219.16,218.39,218.93,221.6053,218.971,216.3367,1804147,2.4061,0.4922
8/29/2017,216.68,218.76,216.62,218.59,221.6834,219.019,216.3546,2013316,2.433,0.4195
8/28/2017,218.5,218.58,217.53,217.94,221.719,219.058,216.397,1425032,2.4295,0.2899
8/25/2017,218.26,218.93,218,218.04,221.7134,219.096,216.4786,2373252,2.3893,0.2983
8/24/2017,218.55,218.55,217.46,217.66,221.714,219.095,216.476,1934354,2.3908,0.226
8/23/2017,218.01,218.46,217.84,217.92,221.7106,219.098,216.4854,3660164,2.3848,0.2745
8/22/2017,217.41,218.85,217.3,218.69,221.7961,219.0425,216.2888,2423241,2.5143,0.436
8/21/2017,216.46,216.92,215.73,216.74,221.9837,218.901,215.8183,3467166,2.8166,0.1495
8/18/2017,216.99,217.66,216.15,216.53,222.2018,218.8185,215.4352,4468542,3.0923,0.1618
8/17/2017,220,220.07,217.77,217.81,222.3114,218.7685,215.2256,3535775,3.239,0.3647
8/16/2017,220.7,221.1,220.28,220.47,222.3851,218.6875,214.9899,2476059,3.3816,0.741
8/15/2017,220.58,220.58,219.86,220.16,222.2197,218.48,214.7403,1835715,3.4234,0.7246
8/14/2017,219.88,220.285,219.81,219.97,222.0999,218.257,214.4141,2605013,3.5214,0.7229
8/11/2017,218.76,219.22,218.52,218.7,221.9257,218.0695,214.2133,4944487,3.5366,0.5818
8/10/2017,219.81,219.897,218.55,218.6,221.87,217.9475,214.025,7832649,3.5995,0.5832
8/9/2017,220.33,220.61,219.96,220.5,221.8451,217.7905,213.7359,3555795,3.7234,0.8341
8/8/2017,220.8,221.68,220.4411,220.69,221.5276,217.527,213.5264,3623872,3.6783,0.8953
8/7/2017,220.75,220.98,220.6,220.85,221.2002,217.1915,213.1828,1902799,3.6914,0.9563
8/4/2017,220.64,220.67,220.03,220.57,220.7179,216.8485,212.9791,1877667,3.5688,0.9809
8/3/2017,219.93,220.23,219.72,220.06,220.1754,216.5225,212.8696,2496380,3.3741,0.9842
8/2/2017,219.83,220.13,219.44,219.89,219.7332,216.1765,212.6198,3063290,3.2906,1.022
8/1/2017,219.74,219.8,219.15,219.37,219.0922,215.911,212.7298,2307069,2.9468,1.0437
7/31/2017,218.65,219.03,218.49,218.7,218.4764,215.667,212.8576,1764971,2.6053,1.0398
7/28/2017,217.53,218.16,217.3,218.02,218.027,215.394,212.761,2305036,2.4449,0.9987
7/27/2017,217.28,217.75,216.63,217.72,217.7333,215.1235,212.5137,3202399,2.4263,0.9974
7/26/2017,216.81,217.16,216.56,216.81,217.2942,214.9495,212.6048,2040987,2.1817,0.8967
